Corpus	Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std
RE02-Sänger	lt_lt-e-l-v	66.22	7.49	66.14	7.03	70.08	6.86
MI01-Clematide	lt-pt_lt-pt-e-l-n-t-v	64.87	8.9	66.12	8.11	66.68	8.73
NA02-Ploch	lt_lt-e-n-t-v	65.71	14.16	66.1	13.57	68.34	14.8
NA02-Ploch	lt_lt-e-t-v	65.71	14.16	66.1	13.57	68.34	14.8
NA02-Ploch	lt_lt-n-t-v	65.71	14.16	66.1	13.57	68.34	14.8
NA02-Ploch	lt_lt-t-v	65.71	14.16	66.1	13.57	68.34	14.8
NA02-Ploch	lt_lt-t-v	65.71	14.16	66.1	13.57	68.34	14.8
NA02-Ploch	lt_r-s-v	64.79	13.24	66.08	10.87	69.13	10.97
NA02-Ploch	li-pt_li-pt-e-l-s-t-v	64.57	14.37	66.08	11.18	69.13	11.47
NA02-Ploch	lt-pt_lt-pt-e-l-s-t-v	65.14	11.54	66.08	8.87	69.5	8.79
NA02-Ploch	li-pt_li-pt-l-n-s-t-v	64.57	14.37	66.08	11.18	69.13	11.47
NA02-Ploch	lt-pt_lt-pt-l-n-s-t-v	65.14	11.54	66.08	8.87	69.5	8.79
NA02-Ploch	li-pt_li-pt-e-l-n-t-s-v	64.57	14.37	66.08	11.18	69.13	11.47
NA02-Ploch	lt-pt_lt-pt-e-l-n-t-s-v	65.14	11.54	66.08	8.87	69.5	8.79
NA02-Ploch	sc_sc-e-n-t-s	63.25	10.13	66.07	9.39	69.82	8.77
NA02-Ploch	sc_sc-e-l-t-s	63.25	10.13	66.07	9.39	69.82	8.77
NA02-Ploch	sc_sc-n-l-t-s	63.25	10.13	66.07	9.39	69.82	8.77
NA02-Ploch	sc_sc-e-t-s	63.25	10.13	66.07	9.39	69.82	8.77
NA02-Ploch	sc_sc-n-t-s	63.25	10.13	66.07	9.39	69.82	8.77
NA02-Ploch	sc_sc-l-t-s	63.25	10.13	66.07	9.39	69.82	8.77
NA02-Ploch	sc_sc-t-s	63.25	10.13	66.07	9.39	69.82	8.77
NA02-Ploch	sc_sc-e-l-s-t	63.25	10.13	66.07	9.39	69.82	8.77
NA02-Ploch	sc_sc-e-n-s-t	63.25	10.13	66.07	9.39	69.82	8.77
NA02-Ploch	sc_sc-l-n-s-t	63.25	10.13	66.07	9.39	69.82	8.77
NA02-Ploch	sc_sc-e-l-n-t-s	63.25	10.13	66.07	9.39	69.82	8.77
MI01-Clematide	sc-pt_sc-pt-n-v	64.67	7.73	66.06	7.19	66.81	7.68
